Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 99.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
1143 Odysseus (1930 BH)            	| RA, DEC 11 05 12.24 +03 03 17.9	| EL, AZ: 44.7  60.8 	| Mag: 15.7 	| moon_dis: 45.0 
(2016 FX58)                        	| RA, DEC 11 46 25.17 -11 52 17.5	| EL, AZ: 42.5  85.7 	| Mag: 23.5 	| moon_dis: 30.6 
768325 (2015 BP519)                	| RA, DEC 05 01 29.23 -28 07 21.3	| EL, AZ: 42.5  251.9	| Mag: 21.3 	| moon_dis: 116.8
624 Hektor (A907 CF)               	| RA, DEC 11 39 49.34 -07 13 03.4	| EL, AZ: 42.3  79.0 	| Mag: 14.6 	| moon_dis: 33.2 
82075 (2000 YW134)                 	| RA, DEC 10 08 21.74 +19 30 57.1	| EL, AZ: 41.9  31.3 	| Mag: 21.6 	| moon_dis: 65.0 
3063 Makhaon (1983 PV)             	| RA, DEC 11 57 06.37 -15 35 24.2	| EL, AZ: 41.2  91.5 	| Mag: 15.7 	| moon_dis: 27.6 
534251 (2014 SW223)                	| RA, DEC 09 09 37.98 +26 37 00.3	| EL, AZ: 40.1  11.2 	| Mag: 23.8 	| moon_dis: 80.2 
20000 Varuna (2000 WR106)          	| RA, DEC 08 55 57.21 +27 12 53.1	| EL, AZ: 40.0  7.1  	| Mag: 20.4 	| moon_dis: 83.2 
(2014 SZ348)                       	| RA, DEC 04 50 44.61 -24 38 25.2	| EL, AZ: 39.6  256.0	| Mag: 24.1 	| moon_dis: 120.9
(2014 VW37)                        	| RA, DEC 04 53 38.28 -19 10 38.1	| EL, AZ: 39.2  263.1	| Mag: 23.0 	| moon_dis: 123.5
880665 (2014 WP509)                	| RA, DEC 07 31 42.75 +27 41 30.1	| EL, AZ: 37.8  343.2	| Mag: 21.0 	| moon_dis: 101.3
229762 G!kun||'homdima (2007 UK1   	| RA, DEC 05 31 31.40 +05 53 26.0	| EL, AZ: 37.6  297.4	| Mag: 19.7 	| moon_dis: 125.3
119979 (2002 WC19)                 	| RA, DEC 06 34 28.36 +21 32 37.7	| EL, AZ: 37.5  325.1	| Mag: 20.8 	| moon_dis: 113.1
527604 (2007 VL305)                	| RA, DEC 05 06 31.51 -02 51 30.4	| EL, AZ: 36.6  284.0	| Mag: 23.2 	| moon_dis: 128.5
11351 Leucus (1997 TS25)           	| RA, DEC 12 16 41.12 -14 17 35.5	| EL, AZ: 36.3  91.7 	| Mag: 18.4 	| moon_dis: 23.0 
386723 (2009 YE7)                  	| RA, DEC 04 58 39.85 -04 20 03.4	| EL, AZ: 35.4  281.3	| Mag: 21.8 	| moon_dis: 129.7
Bernardinelli-Bernstein (C/2014    	| RA, DEC 05 18 16.55 -69 01 21.7	| EL, AZ: 35.2  199.2	| Mag: inf  	| moon_dis: 88.2 
(2015 VT152)                       	| RA, DEC 04 41 35.28 -14 24 37.4	| EL, AZ: 35.1  267.9	| Mag: 22.5 	| moon_dis: 128.6
3451 Mentor (1984 HA1)             	| RA, DEC 05 08 25.76 +01 23 28.6	| EL, AZ: 35.0  288.9	| Mag: 16.6 	| moon_dis: 129.5
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-30 19:00 -- UTC: 2026-04-30 22:00
555632 (2014 BZ57)                 	| RA, DEC 10 02 36.73 -15 01 47.6	| EL, AZ: 79.6  46.0 	| Mag: 20.8 	| moon_dis: 55.5 
90482 Orcus (2004 DW)              	| RA, DEC 10 36 47.64 -13 20 51.9	| EL, AZ: 72.1  62.4 	| Mag: 19.1 	| moon_dis: 47.5 
55565 Aya (2002 AW197)             	| RA, DEC 10 15 12.47 -07 33 35.4	| EL, AZ: 71.9  36.8 	| Mag: 20.1 	| moon_dis: 53.9 
523681 (2014 BV64)                 	| RA, DEC 10 25 58.58 -05 05 47.9	| EL, AZ: 68.3  39.1 	| Mag: 21.5 	| moon_dis: 51.9 
729736 (2011 OF45)                 	| RA, DEC 10 29 48.58 -01 37 41.1	| EL, AZ: 64.9  36.2 	| Mag: 23.1 	| moon_dis: 52.0 
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 56 49.16 -06 06 51.0	| EL, AZ: 63.8  54.8 	| Mag: 22.2 	| moon_dis: 44.2 
523671 (2013 FZ27)                 	| RA, DEC 11 04 51.97 -08 19 36.3	| EL, AZ: 63.6  61.5 	| Mag: 21.1 	| moon_dis: 41.7 
447178 (2005 RO43)                 	| RA, DEC 07 46 00.85 -13 17 40.7	| EL, AZ: 63.3  285.5	| Mag: 19.2 	| moon_dis: 88.2 
654190 (2014 YY49)                 	| RA, DEC 08 35 42.14 +01 11 39.4	| EL, AZ: 62.7  328.1	| Mag: 24.4 	| moon_dis: 80.1 
543354 (2014 AN55)                 	| RA, DEC 10 06 30.75 +03 52 52.3	| EL, AZ: 62.4  19.0 	| Mag: 20.9 	| moon_dis: 59.3 
21900 Orus (1999 VQ10)             	| RA, DEC 11 10 07.15 -05 08 05.4	| EL, AZ: 60.6  57.7 	| Mag: 17.4 	| moon_dis: 41.4 
(2013 RN30)                        	| RA, DEC 08 48 27.57 +05 21 36.1	| EL, AZ: 60.3  337.9	| Mag: 25.1 	| moon_dis: 78.2 
160140 (2001 DZ3)                  	| RA, DEC 11 24 30.06 -09 19 02.8	| EL, AZ: 60.0  68.7 	| Mag: 19.8 	| moon_dis: 36.8 
911 Agamemnon (A919 FB)            	| RA, DEC 11 18 11.03 -06 34 23.2	| EL, AZ: 59.9  62.4 	| Mag: 15.5 	| moon_dis: 39.0 
208996 Achlys (2003 AZ84)          	| RA, DEC 08 42 59.33 +05 50 18.7	| EL, AZ: 59.3  335.7	| Mag: 20.3 	| moon_dis: 79.7 
527443 (2007 UM126)                	| RA, DEC 07 15 49.63 -16 58 49.2	| EL, AZ: 57.6  273.6	| Mag: 23.0 	| moon_dis: 94.1 
(2016 FX58)                        	| RA, DEC 11 46 25.07 -11 52 16.6	| EL, AZ: 56.3  77.6 	| Mag: 23.5 	| moon_dis: 31.0 
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 05 32.86 +10 38 57.3	| EL, AZ: 55.9  15.0 	| Mag: 21.8 	| moon_dis: 62.1 
1143 Odysseus (1930 BH)            	| RA, DEC 11 05 11.98 +03 03 21.3	| EL, AZ: 55.8  44.8 	| Mag: 15.7 	| moon_dis: 45.5 
624 Hektor (A907 CF)               	| RA, DEC 11 39 48.63 -07 13 00.2	| EL, AZ: 55.7  68.8 	| Mag: 14.6 	| moon_dis: 33.7 
3063 Makhaon (1983 PV)             	| RA, DEC 11 57 05.66 -15 35 15.0	| EL, AZ: 55.1  85.3 	| Mag: 15.7 	| moon_dis: 28.0 
659 Nestor (A908 FE)               	| RA, DEC 10 41 16.18 +08 37 07.0	| EL, AZ: 54.6  30.7 	| Mag: 16.7 	| moon_dis: 53.3 
620074 (2013 AT183)                	| RA, DEC 08 55 31.34 +12 19 08.7	| EL, AZ: 54.1  344.8	| Mag: 23.2 	| moon_dis: 78.7 
11351 Leucus (1997 TS25)           	| RA, DEC 12 16 40.34 -14 17 25.8	| EL, AZ: 50.2  85.6 	| Mag: 18.4 	| moon_dis: 23.4 
524366 (2001 XR254)                	| RA, DEC 08 45 30.10 +17 03 07.8	| EL, AZ: 48.9  343.1	| Mag: 22.3 	| moon_dis: 82.5 
(2014 SS303)                       	| RA, DEC 09 07 27.91 +18 46 53.7	| EL, AZ: 48.4  351.4	| Mag: 26.2 	| moon_dis: 78.2 
(2015 VV1)                         	| RA, DEC 09 00 47.94 +18 37 51.3	| EL, AZ: 48.3  349.0	| Mag: 25.1 	| moon_dis: 79.6 
588 Achilles (A906 DN)             	| RA, DEC 12 26 58.66 -14 45 20.0	| EL, AZ: 48.0  87.5 	| Mag: 15.5 	| moon_dis: 20.8 
82075 (2000 YW134)                 	| RA, DEC 10 08 21.70 +19 30 57.0	| EL, AZ: 47.1  12.8 	| Mag: 21.6 	| moon_dis: 65.4 
(2014 XZ40)                        	| RA, DEC 06 38 12.96 -10 50 59.0	| EL, AZ: 47.0  278.4	| Mag: 23.5 	| moon_dis: 104.7
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 27 00.63 -11 02 15.9	| EL, AZ: 46.7  82.3 	| Mag: 17.9 	| moon_dis: 21.4 
60558 Echeclus (2000 EC98)         	| RA, DEC 08 14 58.50 +16 35 35.8	| EL, AZ: 46.7  332.7	| Mag: 21.1 	| moon_dis: 89.4 
(2005 TV189)                       	| RA, DEC 06 54 47.93 -00 56 46.7	| EL, AZ: 46.2  294.0	| Mag: 23.1 	| moon_dis: 103.8
32532 Thereus (2001 PT13)          	| RA, DEC 12 26 38.42 -08 30 15.6	| EL, AZ: 45.8  78.8 	| Mag: 19.5 	| moon_dis: 22.3 
3793 Leonteus (1985 TE3)           	| RA, DEC 12 25 24.07 -05 57 12.5	| EL, AZ: 45.1  75.4 	| Mag: 16.0 	| moon_dis: 23.6 
1583 Antilochus (1950 SA)          	| RA, DEC 12 45 24.61 -18 24 19.6	| EL, AZ: 44.7  94.3 	| Mag: 15.8 	| moon_dis: 16.5 
55638 (2002 VE95)                  	| RA, DEC 07 06 18.21 +06 19 26.2	| EL, AZ: 44.2  304.7	| Mag: 20.8 	| moon_dis: 103.0
(2013 RG98)                        	| RA, DEC 06 22 19.35 -12 34 02.5	| EL, AZ: 43.9  274.1	| Mag: 22.5 	| moon_dis: 107.8
472265 (2014 SR303)                	| RA, DEC 08 33 14.14 +21 45 32.4	| EL, AZ: 43.6  341.2	| Mag: 23.4 	| moon_dis: 86.8 
1437 Diomedes (1937 PB)            	| RA, DEC 13 01 48.72 -32 46 35.9	| EL, AZ: 42.8  114.7	| Mag: 15.4 	| moon_dis: 20.9 
471339 (2011 ON45)                 	| RA, DEC 08 27 22.81 +22 12 22.1	| EL, AZ: 42.7  339.6	| Mag: 22.4 	| moon_dis: 88.2 
(2012 YF12)                        	| RA, DEC 06 33 45.27 +00 16 57.3	| EL, AZ: 41.1  291.6	| Mag: 22.3 	| moon_dis: 109.2
534251 (2014 SW223)                	| RA, DEC 09 09 38.17 +26 36 56.8	| EL, AZ: 40.7  353.5	| Mag: 23.8 	| moon_dis: 80.7 
26375 (1999 DE9)                   	| RA, DEC 13 01 22.59 -13 37 50.3	| EL, AZ: 39.7  89.5 	| Mag: 21.2 	| moon_dis: 12.7 
20000 Varuna (2000 WR106)          	| RA, DEC 08 55 57.24 +27 12 52.5	| EL, AZ: 39.6  349.7	| Mag: 20.4 	| moon_dis: 83.7 
523644 (2010 VX11)                 	| RA, DEC 06 22 39.46 +02 20 20.6	| EL, AZ: 37.6  292.1	| Mag: 21.0 	| moon_dis: 112.4
58534 Logos (1997 CQ29)            	| RA, DEC 12 53 13.97 -02 52 53.8	| EL, AZ: 37.5  75.8 	| Mag: 23.4 	| moon_dis: 19.4 
(2012 VB116)                       	| RA, DEC 06 15 10.97 +00 39 26.2	| EL, AZ: 36.9  289.0	| Mag: 22.1 	| moon_dis: 113.8
(2014 SA365)                       	| RA, DEC 06 07 31.40 -02 11 44.7	| EL, AZ: 36.5  284.8	| Mag: 22.6 	| moon_dis: 114.7
(2014 UY224)                       	| RA, DEC 06 14 41.71 +03 21 45.3	| EL, AZ: 35.4  291.9	| Mag: 22.4 	| moon_dis: 114.6
649172 (2010 XE91)                 	| RA, DEC 06 31 26.31 +09 56 18.2	| EL, AZ: 35.2  301.4	| Mag: 23.1 	| moon_dis: 112.2
33128 (1998 BU48)                  	| RA, DEC 12 35 34.43 +08 53 02.6	| EL, AZ: 35.2  60.4 	| Mag: 23.0 	| moon_dis: 31.0 
315530 (2008 AP129)                	| RA, DEC 10 39 07.39 +30 00 33.2	| EL, AZ: 35.1  17.9 	| Mag: 21.0 	| moon_dis: 65.2 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-30 20:00 -- UTC: 2026-04-30 23:00
90482 Orcus (2004 DW)              	| RA, DEC 10 36 47.57 -13 20 50.5	| EL, AZ: 80.9  7.4  	| Mag: 19.1 	| moon_dis: 47.9 
555632 (2014 BZ57)                 	| RA, DEC 10 02 36.68 -15 01 45.8	| EL, AZ: 79.9  315.5	| Mag: 20.8 	| moon_dis: 55.8 
55565 Aya (2002 AW197)             	| RA, DEC 10 15 12.42 -07 33 34.3	| EL, AZ: 74.6  344.2	| Mag: 20.1 	| moon_dis: 54.2 
523671 (2013 FZ27)                 	| RA, DEC 11 04 51.88 -08 19 35.2	| EL, AZ: 73.9  30.7 	| Mag: 21.1 	| moon_dis: 42.1 
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 56 49.10 -06 06 50.2	| EL, AZ: 72.6  21.2 	| Mag: 22.2 	| moon_dis: 44.6 
523681 (2014 BV64)                 	| RA, DEC 10 25 58.52 -05 05 46.9	| EL, AZ: 72.6  355.0	| Mag: 21.5 	| moon_dis: 52.3 
160140 (2001 DZ3)                  	| RA, DEC 11 24 29.39 -09 18 59.3	| EL, AZ: 71.8  46.0 	| Mag: 19.8 	| moon_dis: 37.2 
911 Agamemnon (A919 FB)            	| RA, DEC 11 18 10.45 -06 34 20.3	| EL, AZ: 70.7  36.9 	| Mag: 15.5 	| moon_dis: 39.4 
21900 Orus (1999 VQ10)             	| RA, DEC 11 10 06.81 -05 07 58.7	| EL, AZ: 70.4  29.6 	| Mag: 17.4 	| moon_dis: 41.7 
(2016 FX58)                        	| RA, DEC 11 46 24.97 -11 52 15.7	| EL, AZ: 69.4  62.5 	| Mag: 23.5 	| moon_dis: 31.4 
729736 (2011 OF45)                 	| RA, DEC 10 29 48.40 -01 37 38.9	| EL, AZ: 69.2  358.5	| Mag: 23.1 	| moon_dis: 52.4 
3063 Makhaon (1983 PV)             	| RA, DEC 11 57 04.94 -15 35 05.9	| EL, AZ: 68.8  75.1 	| Mag: 15.7 	| moon_dis: 28.3 
624 Hektor (A907 CF)               	| RA, DEC 11 39 47.91 -07 12 56.9	| EL, AZ: 67.7  49.7 	| Mag: 14.6 	| moon_dis: 34.1 
11351 Leucus (1997 TS25)           	| RA, DEC 12 16 39.57 -14 17 16.2	| EL, AZ: 63.9  76.5 	| Mag: 18.4 	| moon_dis: 23.7 
1143 Odysseus (1930 BH)            	| RA, DEC 11 05 11.72 +03 03 24.8	| EL, AZ: 63.3  18.8 	| Mag: 15.7 	| moon_dis: 45.9 
543354 (2014 AN55)                 	| RA, DEC 10 06 30.71 +03 52 52.9	| EL, AZ: 63.0  346.0	| Mag: 20.9 	| moon_dis: 59.7 
588 Achilles (A906 DN)             	| RA, DEC 12 26 57.74 -14 45 12.6	| EL, AZ: 61.8  79.4 	| Mag: 15.5 	| moon_dis: 21.2 
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 26 59.80 -11 02 07.1	| EL, AZ: 60.3  72.3 	| Mag: 17.9 	| moon_dis: 21.8 
32532 Thereus (2001 PT13)          	| RA, DEC 12 26 37.93 -08 30 10.0	| EL, AZ: 59.2  67.8 	| Mag: 19.5 	| moon_dis: 22.7 
659 Nestor (A908 FE)               	| RA, DEC 10 41 15.98 +08 37 07.2	| EL, AZ: 58.9  4.5  	| Mag: 16.7 	| moon_dis: 53.7 
1583 Antilochus (1950 SA)          	| RA, DEC 12 45 23.69 -18 24 04.4	| EL, AZ: 58.5  88.9 	| Mag: 15.8 	| moon_dis: 16.8 
3793 Leonteus (1985 TE3)           	| RA, DEC 12 25 23.32 -05 57 00.9	| EL, AZ: 58.1  63.4 	| Mag: 16.0 	| moon_dis: 24.0 
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 05 32.81 +10 38 57.6	| EL, AZ: 56.3  348.3	| Mag: 21.8 	| moon_dis: 62.6 
1437 Diomedes (1937 PB)            	| RA, DEC 13 01 47.45 -32 46 27.1	| EL, AZ: 55.4  115.8	| Mag: 15.4 	| moon_dis: 20.8 
26375 (1999 DE9)                   	| RA, DEC 13 01 22.42 -13 37 49.1	| EL, AZ: 53.5  82.7 	| Mag: 21.2 	| moon_dis: 13.1 
654190 (2014 YY49)                 	| RA, DEC 08 35 42.23 +01 11 41.0	| EL, AZ: 53.1  306.0	| Mag: 24.4 	| moon_dis: 80.5 
(2013 RN30)                        	| RA, DEC 08 48 27.72 +05 21 37.9	| EL, AZ: 52.4  314.6	| Mag: 25.1 	| moon_dis: 78.6 
208996 Achlys (2003 AZ84)          	| RA, DEC 08 42 59.36 +05 50 19.2	| EL, AZ: 51.2  313.5	| Mag: 20.3 	| moon_dis: 80.1 
58534 Logos (1997 CQ29)            	| RA, DEC 12 53 13.81 -02 52 52.9	| EL, AZ: 50.6  65.5 	| Mag: 23.4 	| moon_dis: 19.9 
447178 (2005 RO43)                 	| RA, DEC 07 46 01.21 -13 17 36.1	| EL, AZ: 49.6  275.8	| Mag: 19.2 	| moon_dis: 88.5 
620074 (2013 AT183)                	| RA, DEC 08 55 31.34 +12 19 08.7	| EL, AZ: 48.0  323.4	| Mag: 23.2 	| moon_dis: 79.1 
82075 (2000 YW134)                 	| RA, DEC 10 08 21.66 +19 30 57.0	| EL, AZ: 47.7  351.8	| Mag: 21.6 	| moon_dis: 65.9 
33128 (1998 BU48)                  	| RA, DEC 12 35 34.25 +08 53 03.3	| EL, AZ: 46.5  47.5 	| Mag: 23.0 	| moon_dis: 31.5 
3548 Eurybates (1973 SO)           	| RA, DEC 13 16 59.51 -04 27 15.9	| EL, AZ: 46.3  72.0 	| Mag: 17.1 	| moon_dis: 14.6 
(2014 SS303)                       	| RA, DEC 09 07 27.98 +18 46 53.2	| EL, AZ: 43.9  331.8	| Mag: 26.2 	| moon_dis: 78.6 
527443 (2007 UM126)                	| RA, DEC 07 15 49.97 -16 58 44.5	| EL, AZ: 43.7  267.6	| Mag: 23.0 	| moon_dis: 94.4 
(2015 VV1)                         	| RA, DEC 09 00 48.02 +18 37 51.2	| EL, AZ: 43.3  329.8	| Mag: 25.1 	| moon_dis: 80.1 
15094 Polymele (1999 WB2)          	| RA, DEC 13 23 49.13 -01 04 29.5	| EL, AZ: 43.1  69.1 	| Mag: 19.2 	| moon_dis: 16.5 
524366 (2001 XR254)                	| RA, DEC 08 45 30.14 +17 03 07.7	| EL, AZ: 42.7  324.4	| Mag: 22.3 	| moon_dis: 83.0 
(2014 YA50)                        	| RA, DEC 12 45 16.78 +12 28 59.0	| EL, AZ: 42.2  46.5 	| Mag: 20.7 	| moon_dis: 33.0 
(2014 FC69)                        	| RA, DEC 14 13 14.81 -30 10 10.6	| EL, AZ: 40.3  111.4	| Mag: 24.1 	| moon_dis: 15.0 
120132 (2003 FY128)                	| RA, DEC 14 11 23.17 -24 01 54.0	| EL, AZ: 39.9  103.3	| Mag: 20.9 	| moon_dis: 9.2  
60558 Echeclus (2000 EC98)         	| RA, DEC 08 14 58.74 +16 35 35.6	| EL, AZ: 38.6  316.4	| Mag: 21.1 	| moon_dis: 89.8 
315530 (2008 AP129)                	| RA, DEC 10 39 07.30 +30 00 32.2	| EL, AZ: 37.6  2.0  	| Mag: 21.0 	| moon_dis: 65.7 
308193 (2005 CB79)                 	| RA, DEC 11 29 03.93 +28 24 46.7	| EL, AZ: 37.4  15.9 	| Mag: 20.6 	| moon_dis: 56.5 
472265 (2014 SR303)                	| RA, DEC 08 33 14.37 +21 45 31.0	| EL, AZ: 37.2  324.8	| Mag: 23.4 	| moon_dis: 87.2 
534251 (2014 SW223)                	| RA, DEC 09 09 38.35 +26 36 53.2	| EL, AZ: 37.1  336.8	| Mag: 23.8 	| moon_dis: 81.1 
(2010 EL139)                       	| RA, DEC 14 31 20.15 -39 15 48.9	| EL, AZ: 36.9  123.2	| Mag: 21.2 	| moon_dis: 24.9 
15440 Eioneus (1998 WX4)           	| RA, DEC 10 36 43.00 +31 07 06.4	| EL, AZ: 36.5  1.3  	| Mag: 17.4 	| moon_dis: 66.7 
471339 (2011 ON45)                 	| RA, DEC 08 27 23.16 +22 12 19.7	| EL, AZ: 36.1  323.7	| Mag: 22.4 	| moon_dis: 88.6 
20000 Varuna (2000 WR106)          	| RA, DEC 08 55 57.27 +27 12 52.0	| EL, AZ: 35.2  333.8	| Mag: 20.4 	| moon_dis: 84.2 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-30 21:00 -- UTC: 2026-05-01 00:00
3063 Makhaon (1983 PV)             	| RA, DEC 11 57 04.23 -15 34 56.7	| EL, AZ: 81.0  42.0 	| Mag: 15.7 	| moon_dis: 28.6 
(2016 FX58)                        	| RA, DEC 11 46 24.87 -11 52 14.7	| EL, AZ: 78.9  18.6 	| Mag: 23.5 	| moon_dis: 31.7 
160140 (2001 DZ3)                  	| RA, DEC 11 24 28.71 -09 18 55.7	| EL, AZ: 76.8  351.8	| Mag: 19.8 	| moon_dis: 37.5 
11351 Leucus (1997 TS25)           	| RA, DEC 12 16 38.80 -14 17 06.5	| EL, AZ: 76.7  54.4 	| Mag: 18.4 	| moon_dis: 24.0 
588 Achilles (A906 DN)             	| RA, DEC 12 26 56.82 -14 45 05.1	| EL, AZ: 74.9  61.9 	| Mag: 15.5 	| moon_dis: 21.5 
624 Hektor (A907 CF)               	| RA, DEC 11 39 47.20 -07 12 53.7	| EL, AZ: 74.7  7.3  	| Mag: 14.6 	| moon_dis: 34.4 
523671 (2013 FZ27)                 	| RA, DEC 11 04 51.79 -08 19 34.1	| EL, AZ: 74.5  334.0	| Mag: 21.1 	| moon_dis: 42.4 
90482 Orcus (2004 DW)              	| RA, DEC 10 36 47.50 -13 20 49.2	| EL, AZ: 74.1  302.2	| Mag: 19.1 	| moon_dis: 48.1 
911 Agamemnon (A919 FB)            	| RA, DEC 11 18 09.86 -06 34 17.4	| EL, AZ: 73.8  347.5	| Mag: 15.5 	| moon_dis: 39.8 
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 26 58.97 -11 01 58.3	| EL, AZ: 72.7  51.4 	| Mag: 17.9 	| moon_dis: 22.2 
1583 Antilochus (1950 SA)          	| RA, DEC 12 45 22.77 -18 23 49.3	| EL, AZ: 72.4  80.3 	| Mag: 15.8 	| moon_dis: 17.0 
21900 Orus (1999 VQ10)             	| RA, DEC 11 10 06.48 -05 07 52.0	| EL, AZ: 71.9  342.1	| Mag: 17.4 	| moon_dis: 42.1 
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 56 49.05 -06 06 49.4	| EL, AZ: 71.6  331.1	| Mag: 22.2 	| moon_dis: 45.0 
32532 Thereus (2001 PT13)          	| RA, DEC 12 26 37.45 -08 30 04.5	| EL, AZ: 70.9  45.5 	| Mag: 19.5 	| moon_dis: 23.1 
3793 Leonteus (1985 TE3)           	| RA, DEC 12 25 22.56 -05 56 49.3	| EL, AZ: 69.1  40.1 	| Mag: 16.0 	| moon_dis: 24.4 
1437 Diomedes (1937 PB)            	| RA, DEC 13 01 46.18 -32 46 18.3	| EL, AZ: 67.6  122.5	| Mag: 15.4 	| moon_dis: 20.8 
555632 (2014 BZ57)                 	| RA, DEC 10 02 36.64 -15 01 44.1	| EL, AZ: 67.6  285.3	| Mag: 20.8 	| moon_dis: 56.0 
26375 (1999 DE9)                   	| RA, DEC 13 01 22.24 -13 37 48.0	| EL, AZ: 67.1  71.4 	| Mag: 21.2 	| moon_dis: 13.4 
523681 (2014 BV64)                 	| RA, DEC 10 25 58.46 -05 05 46.0	| EL, AZ: 66.5  314.8	| Mag: 21.5 	| moon_dis: 52.6 
55565 Aya (2002 AW197)             	| RA, DEC 10 15 12.36 -07 33 33.2	| EL, AZ: 66.3  305.8	| Mag: 20.1 	| moon_dis: 54.5 
729736 (2011 OF45)                 	| RA, DEC 10 29 48.21 -01 37 36.8	| EL, AZ: 64.3  321.8	| Mag: 23.1 	| moon_dis: 52.7 
1143 Odysseus (1930 BH)            	| RA, DEC 11 05 11.47 +03 03 28.2	| EL, AZ: 63.7  344.7	| Mag: 15.7 	| moon_dis: 46.3 
58534 Logos (1997 CQ29)            	| RA, DEC 12 53 13.65 -02 52 52.0	| EL, AZ: 62.3  48.2 	| Mag: 23.4 	| moon_dis: 20.3 
3548 Eurybates (1973 SO)           	| RA, DEC 13 16 58.40 -04 27 11.7	| EL, AZ: 58.9  58.6 	| Mag: 17.1 	| moon_dis: 15.0 
659 Nestor (A908 FE)               	| RA, DEC 10 41 15.78 +08 37 07.3	| EL, AZ: 56.6  336.8	| Mag: 16.7 	| moon_dis: 54.1 
543354 (2014 AN55)                 	| RA, DEC 10 06 30.67 +03 52 53.5	| EL, AZ: 56.4  318.9	| Mag: 20.9 	| moon_dis: 60.1 
15094 Polymele (1999 WB2)          	| RA, DEC 13 23 47.98 -01 04 26.7	| EL, AZ: 55.5  55.7 	| Mag: 19.2 	| moon_dis: 16.9 
33128 (1998 BU48)                  	| RA, DEC 12 35 34.07 +08 53 04.1	| EL, AZ: 55.1  28.2 	| Mag: 23.0 	| moon_dis: 31.9 
120132 (2003 FY128)                	| RA, DEC 14 11 22.96 -24 01 53.0	| EL, AZ: 53.5  100.6	| Mag: 20.9 	| moon_dis: 8.8  
(2014 FC69)                        	| RA, DEC 14 13 14.70 -30 10 10.0	| EL, AZ: 53.2  110.9	| Mag: 24.1 	| moon_dis: 14.7 
(2014 YA50)                        	| RA, DEC 12 45 16.60 +12 28 59.3	| EL, AZ: 50.8  29.0 	| Mag: 20.7 	| moon_dis: 33.4 
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 05 32.77 +10 38 57.8	| EL, AZ: 50.7  325.1	| Mag: 21.8 	| moon_dis: 62.9 
(2010 EL139)                       	| RA, DEC 14 31 19.88 -39 15 48.0	| EL, AZ: 48.5  124.6	| Mag: 21.2 	| moon_dis: 24.5 
525462 (2005 EO304)                	| RA, DEC 14 25 36.83 -11 21 58.4	| EL, AZ: 47.2  82.5 	| Mag: 22.5 	| moon_dis: 8.5  
319 Leona (A891 TA)                	| RA, DEC 14 23 33.02 -06 22 30.4	| EL, AZ: 45.7  75.5 	| Mag: 15.9 	| moon_dis: 11.7 
(2014 TK34)                        	| RA, DEC 14 13 22.08 +01 14 04.0	| EL, AZ: 44.2  64.4 	| Mag: 26.8 	| moon_dis: 17.7 
4063 Euforbo (1989 CG2)            	| RA, DEC 13 11 38.11 +16 36 37.1	| EL, AZ: 44.0  34.1 	| Mag: 16.2 	| moon_dis: 34.4 
82075 (2000 YW134)                 	| RA, DEC 10 08 21.62 +19 30 56.9	| EL, AZ: 43.4  332.4	| Mag: 21.6 	| moon_dis: 66.3 
690420 (2014 FC72)                 	| RA, DEC 14 12 39.82 +04 44 25.2	| EL, AZ: 42.3  60.3 	| Mag: 21.9 	| moon_dis: 21.1 
(2013 RN30)                        	| RA, DEC 08 48 27.86 +05 21 39.8	| EL, AZ: 41.3  299.8	| Mag: 25.1 	| moon_dis: 79.0 
654190 (2014 YY49)                 	| RA, DEC 08 35 42.33 +01 11 42.6	| EL, AZ: 41.0  292.8	| Mag: 24.4 	| moon_dis: 80.8 
471149 (2010 FB49)                 	| RA, DEC 14 32 51.94 -00 28 02.3	| EL, AZ: 40.9  69.8 	| Mag: 21.5 	| moon_dis: 18.0 
(2010 FX86)                        	| RA, DEC 15 09 15.08 -43 32 41.7	| EL, AZ: 40.8  129.0	| Mag: 21.2 	| moon_dis: 31.7 
661238 (2004 DA62)                 	| RA, DEC 15 01 16.13 -50 56 37.6	| EL, AZ: 40.7  138.9	| Mag: 19.6 	| moon_dis: 37.3 
208996 Achlys (2003 AZ84)          	| RA, DEC 08 42 59.40 +05 50 19.7	| EL, AZ: 39.9  299.2	| Mag: 20.3 	| moon_dis: 80.4 
